title,combined
Spider-Man: No Way Home,"with spider-man's identity now revealed, peter asks doctor strange for help. when a spell goes wrong, dangerous foes from other worlds start to appear, forcing peter to discover what it truly means to be spider-man. jonwatts action adventure fantasy"
Dune,a noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future. denisvilleneuve action adventure drama
Don't Look Up,two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet earth. adammckay comedy drama sciencefiction
No Time to Die,"james bond has left active service. his peace is short-lived when felix leiter, an old friend from the cia, turns up asking for help, leading bond onto the trail of a mysterious villain armed with dangerous new technology. caryjojifukunaga action adventure thriller"
Zack Snyder's Justice League,"determined to ensure that superman's ultimate sacrifice wasn't in vain, bruce wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions. zacksnyder action adventure fantasy"
Shang-Chi and the Legend of the Ten Rings,"shang-chi, the master of weaponry-based kung fu, is forced to confront his past after being drawn into the ten rings organization. destindanielcretton action adventure fantasy"
Black Widow,natasha romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. cateshortland action adventure sciencefiction
Free Guy,"when guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world. shawnlevy action adventure comedy"
The Suicide Squad,"supervillains harley quinn, bloodsport, peacemaker, and a collection of nutty cons at belle reve prison join the super-secret, super-shady task force x as they are dropped off at the remote, enemy-infused island of corto maltese. jamesgunn action adventure comedy"
Eternals,"the saga of the eternals, a race of immortal beings who lived on earth and shaped its history and civilizations. chloézhao action adventure fantasy"
Nobody,"a docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a russian crime boss. ilyanaishuller action crime drama"
Red Notice,an interpol agent successfully tracks down the world's most wanted art thief with help from a rival thief. but nothing is as it seems as a series of double-crosses ensues. rawsonmarshallthurber action comedy thriller
The Matrix Resurrections,"return to a world of two realities: one, everyday life; the other, what lies behind it. to find out if his reality is a construct, to truly know himself, mr. anderson will have to choose to follow the white rabbit once more. lanawachowski action sciencefiction"
Cruella,a live-action prequel feature film following a young cruella de vil. craiggillespie adventure comedy crime
Venom: Let There Be Carnage,"eddie brock attempts to reignite his career by interviewing serial killer cletus kasady, who becomes the host of the symbiote carnage and escapes prison after a failed execution. andyserkis action sciencefiction thriller"
Encanto,"a colombian teenage girl has to face the frustration of being the only member of her family without magical powers. jaredbush,byronhoward,charisecastrosmith animation comedy family"
Godzilla vs. Kong,the epic next chapter in the cinematic monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome godzilla and the mighty kong--with humanity caught in the balance. adamwingard action sciencefiction thriller
The Tomorrow War,a family man is drafted to fight in a future war where the fate of humanity relies on his ability to confront the past. chrismckay action adventure drama
Jai Bhim,"when a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice. t.j.gnanavel crime drama mystery"
Jungle Cruise,based on disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element. jaumecollet-serra action adventure comedy
Ghostbusters: Afterlife,"when a single mom and her two kids arrive in a small town, they begin to discover their connection to the original ghostbusters and the secret legacy their grandfather left behind. jasonreitman adventure comedy fantasy"
Wrath of Man,a cold and mysterious character working at a cash truck company responsible for moving a lot of money around los angeles each week. guyritchie action crime thriller
The Power of the Dog,"charismatic rancher phil burbank inspires fear and awe in those around him. when his brother brings home a new wife and her son, phil torments them until he finds himself exposed to the possibility of love. janecampion drama western"
Mortal Kombat,mma fighter cole young seeks out earth's greatest champions in order to stand against the enemies of outworld in a high stakes battle for the universe. simonmcquoid action adventure fantasy
Army of the Dead,"following a zombie outbreak in las vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted. zacksnyder action crime drama"
Luca,"on the italian riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human. enricocasarosa animation adventure comedy"
Radhe,"after taking the dreaded gangster gani bhai, acp rajveer shikawat aka radhe goes on a manhunt to find the wealthiest man of the town secretly running a crime syndicate. prabhudeva action crime thriller"
The Black Phone,"after being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims. scottderrickson horror mystery thriller"
The Last Duel,the knight jean de carrouges must settle the dispute over his wife marguerite by challenging his squire to a duel to the death. ridleyscott action drama history
Raya and the Last Dragon,"in a realm known as kumandra, a re-imagined earth inhabited by an ancient civilization, a warrior named raya is determined to find the last dragon. donhall,carloslópezestrada,paulbriggs,johnripa animation action adventure"
The King's Man,"in the early years of the 20th century, the kingsman agency is formed to stand against a cabal plotting a war to wipe out millions. matthewvaughn action adventure thriller"
Last Night in Soho,"aspiring fashion designer eloise is mysteriously able to enter the 1960s, where she encounters dazzling wannabe singer sandie. but the glamour is not as it seems, and the dreams of the past crack and splinter into something darker. edgarwright drama horror mystery"
Nightmare Alley,a grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychologist bent on exposing him. guillermodeltoro crime drama thriller
F9: The Fast Saga,dom and the crew must take on an international terrorist who turns out to be dom and mia's estranged brother. justinlin action crime thriller
CODA,"as a coda (child of deaf adults) ruby is the only hearing person in her deaf family. when the family's fishing business is threatened, ruby finds herself torn between pursuing her passion at berklee college of music and her fear of abandoning her parents. sianheder comedy drama music"
House of Gucci,"when patrizia reggiani, an outsider from humble beginnings, marries into the gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder. ridleyscott biography crime drama"
Old,"a vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day. m.nightshyamalan drama horror mystery"
The French Dispatch,"a love letter to journalists set in an outpost of an american newspaper in a fictional twentieth century french city that brings to life a collection of stories published in ""the french dispatch magazine"". wesanderson comedy drama romance"
The Guilty,a demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman. antoinefuqua crime drama thriller
Licorice Pizza,"the story of alana kane and gary valentine growing up, running around and going through the treacherous navigation of first love in the san fernando valley, 1973. paulthomasanderson comedy drama romance"
The Conjuring: The Devil Made Me Do It,the warrens investigate a murder that may be linked to a demonic possession. michaelchaves horror mystery thriller
King Richard,a look at how tennis superstars venus and serena williams became who they are after the coaching from their father richard williams. reinaldomarcusgreen biography drama sport
Shershaah,"shershaah is the story of pvc awardee indian soldier capt. vikram batra, whose bravery and unflinching courage in chasing the pakistani soldiers out of indian territory contributed immensely in india finally winning the kargil war in 1999. vishnuvardhan action biography drama"
The Mitchells vs the Machines,"a quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope. michaelrianda,jeffrowe animation adventure comedy"
The Little Things,"kern county deputy sheriff joe deacon is sent to los angeles for what should have been a quick evidence-gathering assignment. instead, he becomes embroiled in the search for a serial killer who is terrorizing the city. johnleehancock crime drama mystery"
The Unforgivable,a woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past. norafingscheidt crime drama
"tick, tick... BOOM!","on the cusp of his 30th birthday, a promising young theater composer navigates love, friendship and the pressures of life as an artist in new york city. lin-manuelmiranda biography comedy drama"
The Green Knight,a fantasy retelling of the medieval story of sir gawain and the green knight. davidlowery adventure drama fantasy
Hitman's Wife's Bodyguard,"the bodyguard, michael bryce, continues his friendship with assassin, darius kincaid, as they try to save darius' wife sonia. patrickhughes action comedy crime"
Malignant,"madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities. jameswan crime horror mystery"
